problem,dim,algorithm,runs,best,median,mean,std,worst,mean_error,success_rate,median_evals_to_target,mean_evaluations,mean_seconds
griewank_30d,30,Random,30,233.8243869668631,352.0928150284027,351.42669887864844,34.00668818583059,399.1993626030914,351.42669887864844,0.0,nan,60000.0,0.06431474363337959
himmelblau,2,CDA,30,1.7328493461341982e-11,5.917517049888193e-08,7.879638578818212e-07,1.6123932504063578e-06,6.097230338432882e-06,7.879638578818212e-07,1.0,5232.0,6778.133333333333,0.0017857645333303176
himmelblau,2,CDA (tuned),30,8.313503879493677e-05,0.0004591672847048371,0.0007756735911075217,0.0007388475369805607,0.002585545953058017,0.0007756735911075217,0.03333333333333333,9198.0,10000.0,0.0017268960000668206
himmelblau,2,DE,30,0.0,0.0,2.054062320377978e-27,1.1224509227683455e-26,6.148381895292566e-26,2.054062320377978e-27,1.0,2100.0,10000.0,0.012028454766580883
himmelblau,2,GA,30,0.0,8.529376476758948e-14,0.00046178707990737636,0.0017694077112290658,0.008786206406703882,0.00046178707990737636,0.9,600.0,10000.0,0.010469091966660926
himmelblau,2,PSO,30,3.316938042109535e-23,4.498257291262565e-20,1.6168538475651885e-19,3.333288903820704e-19,1.7685577638352107e-18,1.6168538475651885e-19,1.0,1825.0,10000.0,0.0062746667333764584
himmelblau,2,Random,30,0.0002755657234402815,0.023286704590326644,0.025728942905105485,0.02036314825895313,0.08354744124546865,0.025728942905105485,0.0,nan,10000.0,0.003542347233269538
levy_10d,10,CDA,30,0.42326274948496745,3.8618348541806813,3.9620235868426943,2.136750943658317,7.959650193076126,3.9620235868426943,0.0,nan,7496.0,0.005369867833330015
levy_10d,10,CDA (tuned),30,1.0932895236424397e-05,0.0015936432922800925,0.139843030680185,0.3464571188801149,1.7242040982273683,0.139843030680185,0.03333333333333333,17889.0,30000.0,0.022245908299980025
levy_10d,10,DE,30,2.3255256711909916e-25,2.0273434082162793e-24,4.388535170730298e-24,5.817482143885706e-24,2.3459547561877313e-23,4.388535170730298e-24,1.0,7550.0,30000.0,0.05065256940012356
levy_10d,10,GA,30,2.6675399220268625e-10,2.6466116076335718e-05,9.663953393610339e-05,0.00016382045337532728,0.0007540662754644496,9.663953393610339e-05,0.7,13100.0,30000.0,0.05213176876671544
levy_10d,10,PSO,30,1.4997597826618576e-32,4.492145214991784e-30,1.5860032819039593e-28,7.653915835085762e-28,4.206941202408242e-27,1.5860032819039593e-28,1.0,5375.0,30000.0,0.03128165216661121
