problem,reference,other,median_reference,median_other,u_statistic,p_value,verdict
ackley_10d,CDA (budgeted),PSO,1.173796895549581,7.549516567451064e-15,900.0,2.078898697811576e-11,PSO better
ackley_10d,CDA (budgeted),Random,1.173796895549581,16.36780254568289,0.0,3.019859359162157e-11,CDA (budgeted) better
ackley_2d,CDA (budgeted),CDA (paper),0.10988390574381635,0.42603190286036297,237.0,0.0016797555161960338,CDA (budgeted) better
ackley_2d,CDA (budgeted),DE,0.10988390574381635,4.440892098500626e-16,900.0,1.2117803970059759e-12,DE better
ackley_2d,CDA (budgeted),GA,0.10988390574381635,4.440892098500626e-16,893.0,3.9804949204222183e-11,GA better
ackley_2d,CDA (budgeted),PSO,0.10988390574381635,4.3530024029792003e-10,900.0,3.019859359162157e-11,PSO better
ackley_2d,CDA (budgeted),Random,0.10988390574381635,2.68819336816444,0.0,3.019859359162157e-11,CDA (budgeted) better
ackley_30d,CDA (budgeted),CDA (paper),3.8059281035604493,19.725294000838495,0.0,3.019859359162157e-11,CDA (budgeted) better
ackley_30d,CDA (budgeted),DE,3.8059281035604493,1.740128618976655e-08,900.0,3.019859359162157e-11,DE better
ackley_30d,CDA (budgeted),GA,3.8059281035604493,0.014439093454730045,900.0,3.019859359162157e-11,GA better
ackley_30d,CDA (budgeted),PSO,3.8059281035604493,1.2477848952910748,840.0,8.396727840384934e-09,PSO better
ackley_30d,CDA (budgeted),Random,3.8059281035604493,19.74032593821804,0.0,3.019859359162157e-11,CDA (budgeted) better
booth,CDA (budgeted),CDA (paper),0.0003724715138144344,3.132012476136268e-08,900.0,3.019859359162157e-11,CDA (paper) better
booth,CDA (budgeted),DE,0.0003724715138144344,0.0,900.0,1.2117803970059759e-12,DE better
booth,CDA (budgeted),GA,0.0003724715138144344,1.1601641847152452e-06,691.0,0.0003770395640831686,GA better
booth,CDA (budgeted),PSO,0.0003724715138144344,7.986280221046159e-20,900.0,3.019859359162157e-11,PSO better
booth,CDA (budgeted),Random,0.0003724715138144344,0.01833665709236222,33.0,7.380285855777029e-10,CDA (budgeted) better
branin,CDA (budgeted),CDA (paper),0.39805257784284276,0.3978873723856662,900.0,3.019859359162157e-11,CDA (paper) better
branin,CDA (budgeted),DE,0.39805257784284276,0.39788735772973816,900.0,1.2117803970059759e-12,DE better
branin,CDA (budgeted),GA,0.39805257784284276,0.3978873577297497,796.0,2.6295746118793916e-07,GA better
branin,CDA (budgeted),PSO,0.39805257784284276,0.39788735772973816,900.0,1.2117803970059759e-12,PSO better
branin,CDA (budgeted),Random,0.39805257784284276,0.4023996196037176,72.0,2.3897386921024213e-08,CDA (budgeted) better
easom,CDA (budgeted),CDA (paper),-0.9946180568873227,-2.2025991280101432e-35,0.0,3.019859359162157e-11,CDA (budgeted) better
easom,CDA (budgeted),DE,-0.9946180568873227,-1.0,900.0,1.2117803970059759e-12,DE better
easom,CDA (budgeted),GA,-0.9946180568873227,-1.0,718.0,6.322353742944052e-05,GA better
easom,CDA (budgeted),PSO,-0.9946180568873227,-1.0,900.0,1.2117803970059759e-12,PSO better
easom,CDA (budgeted),Random,-0.9946180568873227,-0.13683074799721745,0.0,3.019859359162157e-11,CDA (budgeted) better
griewank_10d,CDA (budgeted),CDA (paper),0.6718506921706454,1.6068760240195696,0.0,3.019859359162157e-11,CDA (budgeted) better
griewank_10d,CDA (budgeted),DE,0.6718506921706454,0.08101751651435485,835.0,1.3111030420756061e-08,DE better
griewank_10d,CDA (budgeted),GA,0.6718506921706454,0.08749815762721513,854.0,2.438626624144956e-09,GA better
griewank_10d,CDA (budgeted),PSO,0.6718506921706454,0.06153625195664386,877.0,2.8699608916353066e-10,PSO better
griewank_10d,CDA (budgeted),Random,0.6718506921706454,37.850979804665315,0.0,3.019859359162157e-11,CDA (budgeted) better
griewank_30d,CDA (budgeted),CDA (paper),1.172435427826915,9.876751664072632,0.0,3.019859359162157e-11,CDA (budgeted) better
griewank_30d,CDA (budgeted),DE,1.172435427826915,1.176836406102666e-14,900.0,3.008520215091029e-11,DE better
griewank_30d,CDA (budgeted),GA,1.172435427826915,0.033569397713060056,900.0,3.019859359162157e-11,GA better
griewank_30d,CDA (budgeted),PSO,1.172435427826915,0.008626662470967883,870.0,4.742984975353501e-10,PSO better
griewank_30d,CDA (budgeted),Random,1.172435427826915,352.0928150284027,0.0,3.019859359162157e-11,CDA (budgeted) better
himmelblau,CDA (budgeted),CDA (paper),0.0004591672847048371,5.917517049888193e-08,900.0,3.019859359162157e-11,CDA (paper) better
himmelblau,CDA (budgeted),DE,0.0004591672847048371,0.0,900.0,5.203869821751052e-12,DE better
himmelblau,CDA (budgeted),GA,0.0004591672847048371,8.529376476758948e-14,824.0,3.23094017426244e-08,GA better
himmelblau,CDA (budgeted),PSO,0.0004591672847048371,4.498257291262565e-20,900.0,3.019859359162157e-11,PSO better
himmelblau,CDA (budgeted),Random,0.0004591672847048371,0.023286704590326644,24.0,3.158889488129529e-10,CDA (budgeted) better
levy_10d,CDA (budgeted),CDA (paper),0.0015936432922800925,3.8618348541806813,9.0,7.389082518022347e-11,CDA (budgeted) better
levy_10d,CDA (budgeted),DE,0.0015936432922800925,2.0273434082162793e-24,900.0,3.019859359162157e-11,DE better
levy_10d,CDA (budgeted),GA,0.0015936432922800925,2.6466116076335718e-05,858.0,1.6947244610469585e-09,GA better
levy_10d,CDA (budgeted),PSO,0.0015936432922800925,4.492145214991784e-30,900.0,2.969138405322447e-11,PSO better
levy_10d,CDA (budgeted),Random,0.0015936432922800925,9.063840203139314,0.0,3.019859359162157e-11,CDA (budgeted) better
michalewicz_10d,CDA (budgeted),CDA (paper),-7.773588041673909,-5.154534055536313,0.0,3.019859359162157e-11,CDA (budgeted) better
michalewicz_10d,CDA (budgeted),DE,-7.773588041673909,-8.275968063589108,727.0,4.353076572838203e-05,DE better
michalewicz_10d,CDA (budgeted),GA,-7.773588041673909,-9.616871302621655,900.0,3.019859359162157e-11,GA better
michalewicz_10d,CDA (budgeted),PSO,-7.773588041673909,-8.482227259273941,678.0,0.0007697288698323855,PSO better
michalewicz_10d,CDA (budgeted),Random,-7.773588041673909,-5.03596104905637,0.0,3.019859359162157e-11,CDA (budgeted) better
michalewicz_2d,CDA (budgeted),CDA (paper),-1.8012560041008898,-1.8012763419840092,515.0,0.34028846509891686,tie
michalewicz_2d,CDA (budgeted),DE,-1.8012560041008898,-1.8013034100985537,900.0,1.2117803970059759e-12,DE better
michalewicz_2d,CDA (budgeted),GA,-1.8012560041008898,-1.8013034100985534,874.0,2.815297741831886e-10,GA better
michalewicz_2d,CDA (budgeted),PSO,-1.8012560041008898,-1.8013034100985537,900.0,1.136351019927929e-11,PSO better
michalewicz_2d,CDA (budgeted),Random,-1.8012560041008898,-1.79509891087609,0.0,3.019859359162157e-11,CDA (budgeted) better
paper_f1,CDA (budgeted),CDA (paper),-19.963913634129376,-19.966533861875057,842.0,7.118594879682295e-09,CDA (paper) better
paper_f1,CDA (budgeted),DE,-19.963913634129376,-19.96668332936563,900.0,1.2117803970059759e-12,DE better
paper_f1,CDA (budgeted),GA,-19.963913634129376,-19.96668332936563,893.0,2.620719300091149e-11,GA better
paper_f1,CDA (budgeted),PSO,-19.963913634129376,-19.96668332936063,900.0,3.019859359162157e-11,PSO better
paper_f1,CDA (budgeted),Random,-19.963913634129376,-19.938939976585495,15.0,1.328851208138703e-10,CDA (budgeted) better
paper_f2,CDA (budgeted),CDA (paper),-0.24095027955014459,-0.24451229774969543,604.0,0.02324344705367121,CDA (paper) better
paper_f2,CDA (budgeted),DE,-0.24095027955014459,-0.24740519403861622,900.0,1.2117803970059759e-12,DE better
paper_f2,CDA (budgeted),GA,-0.24095027955014459,-0.24740519403861622,818.0,3.362577147112278e-08,GA better
paper_f2,CDA (budgeted),PSO,-0.24095027955014459,-0.24740519403714545,900.0,3.019859359162157e-11,PSO better
paper_f2,CDA (budgeted),Random,-0.24095027955014459,-0.20035953961886055,32.0,6.72195435841357e-10,CDA (budgeted) better
rastrigin_10d,CDA (budgeted),CDA (paper),16.92085334549735,41.51309199452092,3.0,4.0771648468253186e-11,CDA (budgeted) better
rastrigin_10d,CDA (budgeted),DE,16.92085334549735,20.33546644571866,228.0,0.0010575543184782395,CDA (budgeted) better
rastrigin_10d,CDA (budgeted),GA,16.92085334549735,0.003685547368696973,900.0,3.019859359162157e-11,GA better
rastrigin_10d,CDA (budgeted),PSO,16.92085334549735,4.477313238013572,896.0,4.3218734950917475e-11,PSO better
rastrigin_10d,CDA (budgeted),Random,16.92085334549735,63.354221947176526,0.0,3.019859359162157e-11,CDA (budgeted) better
rastrigin_2d,CDA (budgeted),CDA (paper),0.03471472951401111,0.8983331685980573,212.0,0.0004459191206574567,CDA (budgeted) better
rastrigin_2d,CDA (budgeted),DE,0.03471472951401111,0.0,900.0,1.2117803970059759e-12,DE better
rastrigin_2d,CDA (budgeted),GA,0.03471472951401111,0.0,884.0,8.1877720828705e-11,GA better
rastrigin_2d,CDA (budgeted),PSO,0.03471472951401111,0.0,900.0,1.2117803970059759e-12,PSO better
rastrigin_2d,CDA (budgeted),Random,0.03471472951401111,0.6340431540380536,26.0,3.8201597819993253e-10,CDA (budgeted) better
rastrigin_30d,CDA (budgeted),CDA (paper),113.93707478005919,247.8465435113255,0.0,3.019859359162157e-11,CDA (budgeted) better
rastrigin_30d,CDA (budgeted),DE,113.93707478005919,131.3135262108382,298.0,0.02510128272933511,CDA (budgeted) better
rastrigin_30d,CDA (budgeted),GA,113.93707478005919,0.010537697973433069,900.0,3.019859359162157e-11,GA better
rastrigin_30d,CDA (budgeted),PSO,113.93707478005919,102.51571676798046,659.0,0.0020523338723804135,PSO better
rastrigin_30d,CDA (budgeted),Random,113.93707478005919,329.81646183759744,0.0,3.019859359162157e-11,CDA (budgeted) better
rosenbrock_10d,CDA (budgeted),CDA (paper),7.07424119822889,10.936337632858066,12.0,9.918628618948002e-11,CDA (budgeted) better
