algorithm,problem,dim,seed,best_value,error,evaluations,iterations,evals_to_target,success,stop_reason,seconds
CDA (paper),paper_f2,2,4,-0.24728994506822805,0.00011524897038817095,1459,13,,False,extinction,0.0010230779998892103
CDA (paper),paper_f2,2,5,-0.23128967406468753,0.016115519973928683,1290,17,,False,extinction,0.0012172240003565094
CDA (paper),paper_f2,2,6,-0.2371627269389716,0.010242467099644603,1599,33,,False,mean_gap,0.0022977959997660946
CDA (paper),paper_f2,2,7,-0.24571001569776796,0.001695178340848258,1297,32,,False,extinction,0.0021064080001451657
CDA (paper),paper_f2,2,8,-0.16841003836963986,0.07899515566897636,643,26,,False,mean_gap,0.0016751560006014188
CDA (paper),paper_f2,2,9,-0.24010382290855586,0.007301371130060352,1651,35,,False,mean_gap,0.0023561360003441223
CDA (paper),paper_f2,2,10,-0.24616219276724222,0.0012430012713740002,2207,22,,False,extinction,0.0016675339993525995
CDA (paper),paper_f2,2,11,-0.2292954224684119,0.018109771570204325,1946,13,,False,extinction,0.0011132710005767876
CDA (paper),paper_f2,2,12,-0.24243828185251348,0.004966912186102734,1622,32,,False,extinction,0.0021281839999574004
CDA (paper),paper_f2,2,13,-0.21575376877013597,0.03165142526848025,2018,13,,False,extinction,0.0011115990000689635
CDA (paper),paper_f2,2,14,-0.24403836416786817,0.003366829870748045,978,27,,False,mean_gap,0.0017403170004399726
CDA (paper),paper_f2,2,15,-0.24449639766894943,0.0029087963696667885,1178,10,,False,extinction,0.0007977949999258271
CDA (paper),paper_f2,2,16,-0.24064359447590727,0.006761599562708942,2063,34,,False,mean_gap,0.0022898859997440013
CDA (paper),paper_f2,2,17,-0.2459291938835203,0.0014760001550959134,3401,32,,False,mean_gap,0.0023388720001094043
CDA (paper),paper_f2,2,18,-0.24731370915845602,9.148488016019751e-05,3784,13,3756,True,extinction,0.0013043040007687523
CDA (paper),paper_f2,2,19,-0.2454801635078151,0.0019250305308011195,1907,12,,False,extinction,0.0010408060006739106
CDA (paper),paper_f2,2,20,-0.23486180392984507,0.012543390108771146,1778,15,,False,extinction,0.0012092079996364191
CDA (paper),paper_f2,2,21,-0.2388913173194679,0.008513876719148328,817,9,,False,extinction,0.0006832849994680146
CDA (paper),paper_f2,2,22,-0.21576135041030986,0.031643843628306356,1181,15,,False,extinction,0.001114783999582869
CDA (paper),paper_f2,2,23,-0.24440457521283876,0.003000618825777457,1437,35,,False,mean_gap,0.00225656499969773
CDA (paper),paper_f2,2,24,-0.24509184472317613,0.002313349315440083,858,24,,False,extinction,0.0015143429991439916
CDA (paper),paper_f2,2,25,-0.24648079674010714,0.000924397298509072,3208,14,,False,extinction,0.0012961149996044696
CDA (paper),paper_f2,2,26,-0.24721326859385473,0.0001919254447614871,1859,20,,False,extinction,0.0015064780000102473
CDA (paper),paper_f2,2,27,-0.24710516877094163,0.00030002526767458626,1541,17,,False,extinction,0.0012209870001242962
CDA (paper),paper_f2,2,28,-0.24685087115606275,0.0005543228825534707,1150,12,,False,extinction,0.0009256439998353017
CDA (paper),paper_f2,2,29,-0.2474050431913869,1.5084722931879568e-07,1318,16,1286,True,extinction,0.0011602100003074156
CDA (budgeted),paper_f2,2,0,-0.24691610466351271,0.0004890893751035019,10000,23,,False,budget_exhausted,0.0026529890001256717
CDA (budgeted),paper_f2,2,1,-0.23581462314034318,0.011590570898273034,10000,19,,False,budget_exhausted,0.0024099519996525487
CDA (budgeted),paper_f2,2,2,-0.2423574883281283,0.005047705710487904,10000,18,,False,budget_exhausted,0.0022904830002516974
CDA (budgeted),paper_f2,2,3,-0.2434219940519815,0.003983199986634711,10000,17,,False,budget_exhausted,0.0022287340007096645
CDA (budgeted),paper_f2,2,4,-0.22661250076406392,0.0207926932745523,10000,11,,False,budget_exhausted,0.0018789890000334708
CDA (budgeted),paper_f2,2,5,-0.24182887640825368,0.005576317630362537,10000,18,,False,budget_exhausted,0.002315630000339297
CDA (budgeted),paper_f2,2,6,-0.24159493586442726,0.005810258174188954,10000,34,,False,budget_exhausted,0.0032931859996097046
CDA (budgeted),paper_f2,2,7,-0.2462562765582979,0.0011489174803183122,10000,19,,False,budget_exhausted,0.002402715999778593
CDA (budgeted),paper_f2,2,8,-0.21946840665886463,0.027936787379751582,10000,19,,False,budget_exhausted,0.00240194399975735
CDA (budgeted),paper_f2,2,9,-0.22956680639352717,0.01783838764508905,10000,18,,False,budget_exhausted,0.002338014000088151
CDA (budgeted),paper_f2,2,10,-0.24282666293127114,0.004578531107345074,10000,19,,False,budget_exhausted,0.0023546789998363238
CDA (budgeted),paper_f2,2,11,-0.24014357410711956,0.0072616199314966545,10000,22,,False,budget_exhausted,0.002541976000429713
CDA (budgeted),paper_f2,2,12,-0.239397495293734,0.008007698744882219,10000,11,,False,budget_exhausted,0.0018582289994810708
CDA (budgeted),paper_f2,2,13,-0.24128825092377015,0.006116943114846063,10000,20,,False,budget_exhausted,0.002377910999712185
CDA (budgeted),paper_f2,2,14,-0.23735650846581247,0.01004868557280375,10000,18,,False,budget_exhausted,0.002295070000400301
CDA (budgeted),paper_f2,2,15,-0.24244879315274093,0.0049564008858752895,10000,11,,False,budget_exhausted,0.0018749479995676666
CDA (budgeted),paper_f2,2,16,-0.236062840394961,0.011342353643655212,10000,19,,False,budget_exhausted,0.0023507680007242016
CDA (budgeted),paper_f2,2,17,-0.24504963746503577,0.002355556573580442,10000,15,,False,budget_exhausted,0.0021253249997243984
CDA (budgeted),paper_f2,2,18,-0.23573401165397095,0.011671182384645262,10000,20,,False,budget_exhausted,0.0024610959999336046
CDA (budgeted),paper_f2,2,19,-0.23457408065392926,0.012831113384686954,10000,18,,False,budget_exhausted,0.0023078479998730472
CDA (budgeted),paper_f2,2,20,-0.2435532405805727,0.003851953458043511,10000,10,,False,budget_exhausted,0.0017668010004854295
CDA (budgeted),paper_f2,2,21,-0.2309968906420537,0.016408303396562518,10000,20,,False,budget_exhausted,0.0024268530005429056
CDA (budgeted),paper_f2,2,22,-0.23177051356799244,0.015634680470623774,10000,27,,False,budget_exhausted,0.0028562920006152126
CDA (budgeted),paper_f2,2,23,-0.23958298562715258,0.007822208411463638,10000,21,,False,budget_exhausted,0.002455195000038657
CDA (budgeted),paper_f2,2,24,-0.24587570645076795,0.001529487587848266,10000,11,,False,budget_exhausted,0.0018556040004114038
